,doc,line_id,value,entity
0,X00016469612,1,TAN,O
1,X00016469612,1,WOON,O
2,X00016469612,1,YANN,O
3,X00016469612,2,BOOK,company-B
4,X00016469612,2,TA,company-I
5,X00016469612,2,.K(TAMAN,O
6,X00016469612,2,DAYA),company-B
7,X00016469612,2,SDN,company-I
8,X00016469612,2,BND,O
9,X00016469612,3,789417-W,O
10,X00016469612,4,NO.53,address-B
11,X00016469612,4,"55,57",address-I
12,X00016469612,4,&,address-I
13,X00016469612,4,"59,",address-I
14,X00016469612,4,JALAN,address-I
15,X00016469612,4,SAGU,address-I
16,X00016469612,4,"18,",address-I
17,X00016469612,5,TAMAN,address-I
18,X00016469612,5,"DAYA,",address-I
19,X00016469612,6,81100,address-I
20,X00016469612,6,JOHOR,address-I
21,X00016469612,6,"BAHRU,",address-I
22,X00016469612,7,JOHOR.,address-I
23,X00016469612,8,DOCUMENT,O
24,X00016469612,8,NO,O
25,X00016469612,8,:,O
26,X00016469612,8,TD01167104,O
27,X00016469612,9,DATE:,O
28,X00016469612,10,25/12/2018,date-B
29,X00016469612,10,8:13:39,O
30,X00016469612,10,PM,O
31,X00016469612,11,CASHIER:,O
32,X00016469612,12,MANIS,O
33,X00016469612,13,MEMBER:,O
34,X00016469612,14,CASH,O
35,X00016469612,14,BILL,O
36,X00016469612,15,CODE/DESC,O
37,X00016469612,16,PRICE,O
38,X00016469612,17,DISC,O
39,X00016469612,18,AMOUNT,O
40,X00016469612,19,QTY,O
41,X00016469612,20,RM,O
42,X00016469612,21,RM,O
43,X00016469612,22,9556939040116,O
44,X00016469612,23,KF,O
45,X00016469612,23,MODELLING,O
46,X00016469612,23,CLAY,O
47,X00016469612,23,KIDDY,O
48,X00016469612,23,FISH,O
49,X00016469612,24,1,O
50,X00016469612,24,PC,O
51,X00016469612,25,*,O
52,X00016469612,26,9.000,O
53,X00016469612,27,0.00,O
54,X00016469612,28,9.00,total-B
55,X00016469612,29,TOTAL:,O
56,X00016469612,30,ROUR,O
57,X00016469612,30,DING,O
58,X00016469612,30,ADJUSTMENT:,O
59,X00016469612,31,0.00,O
60,X00016469612,32,ROUND,O
61,X00016469612,32,D,O
62,X00016469612,32,TOTAL,O
63,X00016469612,32,(RM):,O
64,X00016469612,33,9.00,total-B
65,X00016469612,34,CASH,O
66,X00016469612,35,10.00,O
67,X00016469612,36,CHANGE,O
68,X00016469612,37,1.00,O
69,X00016469612,38,GOODS,O
70,X00016469612,38,SOLD,O
71,X00016469612,38,ARE,O
72,X00016469612,38,NOT,O
73,X00016469612,38,RETURNABLE,O
74,X00016469612,38,OR,O
75,X00016469612,39,EXCHANGEABLE,O
76,X00016469612,40,***,O
77,X00016469612,41,***,O
78,X00016469612,42,THANK,O
79,X00016469612,42,YOU,O
80,X00016469612,43,PLEASE,O
81,X00016469612,43,COME,O
82,X00016469612,43,AGAIN,O
83,X00016469612,43,!,O
84,X00016469612,44,9.00,total-B
85,X00016469619,1,TAN,O
86,X00016469619,1,WOON,O
87,X00016469619,1,YANN,O
88,X00016469619,2,INDAH,company-B
89,X00016469619,2,GIFT,company-I
90,X00016469619,2,&,company-I
91,X00016469619,2,HOME,company-I
92,X00016469619,2,DECO,company-I
93,X00016469619,3,"27,JALAN",O
94,X00016469619,3,DEDAP,address-B
95,X00016469619,3,"13,",address-I
96,X00016469619,4,TAMAN,address-I
97,X00016469619,4,"JAYA,",address-I
98,X00016469619,5,81100,address-I
99,X00016469619,5,"BAHRU,JOHOR.",O
100,X00016469619,6,TEL:07-3507405,O
101,X00016469619,7,FAX:07-3558160,O
102,X00016469619,8,RECEIPT,O
103,X00016469619,9,19/10/2018,date-B
104,X00016469619,9,20:49:59,O
105,X00016469619,9,#01,O
106,X00016469619,10,CASHIER:,O
107,X00016469619,10,CN,O
108,X00016469619,11,LOCATION/SP:,O
109,X00016469619,11,05,O
110,X00016469619,11,/0531,O
111,X00016469619,12,MB:,O
112,X00016469619,12,MO26588,O
113,X00016469619,13,ROOM,O
114,X00016469619,13,NO:,O
115,X00016469619,13,01,O
116,X00016469619,14,050100035279,O
117,X00016469619,15,DESC/ITEM,O
118,X00016469619,16,QTY,O
119,X00016469619,17,PRICE,O
120,X00016469619,18,AMT(RM),O
121,X00016469619,19,ST-PRIVILEGE,O
122,X00016469619,19,CARD/GD,O
123,X00016469619,19,INDAH,company-B
124,X00016469619,20,88888,O
125,X00016469619,21,1,O
126,X00016469619,22,10.00,O
127,X00016469619,23,10.00,O
128,X00016469619,24,GF-TABLE,O
129,X00016469619,24,LAMP/STITCH,O
130,X00016469619,24,<I>,O
131,X00016469619,25,62483,O
132,X00016469619,26,1,O
133,X00016469619,27,55.90,O
134,X00016469619,28,55.90,O
135,X00016469619,29,@DISC,O
136,X00016469619,30,10.00%,O
137,X00016469619,31,-5.59,O
138,X00016469619,32,#TOTAL,O
139,X00016469619,32,QTY,O
140,X00016469619,33,2,O
141,X00016469619,34,TOTAL,O
142,X00016469619,34,AMT.................,O
143,X00016469619,34,RM,O
144,X00016469619,35,60.31,O
145,X00016469619,36,ROUNDING,O
146,X00016469619,36,ADJ............,O
147,X00016469619,37,-0.01,O
148,X00016469619,38,RM,O
149,X00016469619,39,60.30,total-B
150,X00016469619,40,CASH....................,O
151,X00016469619,40,RM,O
152,X00016469619,41,70.30,O
153,X00016469619,42,CHANGE..................,O
154,X00016469619,42,RM,O
155,X00016469619,43,10.00,O
156,X00016469619,44,THANK,O
157,X00016469619,44,YOU,O
158,X00016469619,44,PLEASE,O
159,X00016469619,44,COME,O
160,X00016469619,44,AGAIN,O
161,X00016469619,45,GOODS,O
162,X00016469619,45,SOLD,O
163,X00016469619,45,ARE,O
164,X00016469619,45,NOT,O
165,X00016469619,45,RETURNABLE,O
166,X00016469619,46,THANK,O
167,X00016469619,46,YOU,O
168,X00016469619,46,FLEASE,O
169,X00016469619,46,COME,O
170,X00016469619,46,AOSIN,O
171,X00016469619,47,GOODS,O
172,X00016469619,47,SOLD,O
173,X00016469619,47,ARE,O
174,X00016469619,47,NOT,O
175,X00016469619,47,RETURNABLE,O
176,X00016469619,48,DEALING,O
177,X00016469619,48,IN,O
178,X00016469619,48,WHOLESALE,O
179,X00016469619,48,AND,O
180,X00016469619,48,RETAIL.,O
181,X00016469620,1,TAN,O
182,X00016469620,1,WOON,O
183,X00016469620,1,YANN,O
184,X00016469620,2,MR,company-B
185,X00016469620,2,D.T.Y.,O
186,X00016469620,2,(JOHOR),company-B
187,X00016469620,2,SDN,company-I
188,X00016469620,2,BHD,company-I
189,X00016469620,3,(CO.REG,O
190,X00016469620,3,:,O
191,X00016469620,3,933109-X),O
192,X00016469620,4,LOT,address-B
193,X00016469620,4,1851-A,address-I
194,X00016469620,4,&,address-I
195,X00016469620,4,"1851-B,",address-I
196,X00016469620,4,JALAN,address-I
197,X00016469620,4,KPB,address-I
198,X00016469620,4,"6,",address-I
199,X00016469620,5,KAWASAN,address-I
200,X00016469620,5,PERINDUSTRIAN,address-I
201,X00016469620,5,"BALAKONG,",address-I
202,X00016469620,6,43300,address-I
203,X00016469620,6,SERI,address-I
204,X00016469620,6,"KEMBANGAN,",address-I
205,X00016469620,6,SELANGOR,address-I
206,X00016469620,7,(MR,address-I
207,X00016469620,7,DIY,address-I
208,X00016469620,7,TESCO,address-I
209,X00016469620,7,TERBAU),address-I
210,X00016469620,8,-INVOICE-,O
211,X00016469620,9,CHOPPING,O
212,X00016469620,9,BOARD,O
213,X00016469620,9,35.5X25.5CM,O
214,X00016469620,9,803M#,O
215,X00016469620,10,EZ10HD05,O
216,X00016469620,10,-,O
217,X00016469620,10,24,O
218,X00016469620,11,8970669,O
219,X00016469620,12,1,O
220,X00016469620,13,X,O
221,X00016469620,14,19.00,O
222,X00016469620,15,19.00,O
223,X00016469620,16,AIR,O
