,image,json_data
0,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=463x894 at 0x7F90CA722890>,"{'company': 'OJC MARKETING SDN BHD', 'date': '15/01/2019', 'address': 'NO 2 & 4, JALAN BAYU 4, BANDAR SERI ALAM, B1750 MASAI, JOHOR', 'total': '193.00'}"
1,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=463x776 at 0x7F90CA722260>,"{'company': 'OJC MARKETING SDN BHD', 'date': '02/01/2019', 'address': 'NO 2 & 4, JALAN BAYU 4, BANDAR SERI ALAM, 81750 MASAI, JOHOR', 'total': '170.00'}"
2,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=992x1403 at 0x7F90CA722590>,"{'company': 'PERNIAGAAN ZHENG HUI', 'date': '09/02/2018', 'address': 'NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU', 'total': '436.20'}"
3,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=616x1336 at 0x7F90CA723D60>,"{'company': 'PETRON BKT LANJAN SB', 'date': '01/02/2018', 'address': 'KM 458.4 BKT LANJAN UTARA, L/RAYA UTARA SELATAN,SG BULOH 47000 SUNGAI BUL', 'total': '4.90'}"
4,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=608x1830 at 0x7F90CA722290>,"{'company': 'GERBANG ALAF RESTAURANTS SDN BHD', 'date': '18/01/2018', 'address': 'LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR', 'total': '38.90'}"
5,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=593x1769 at 0x7F90CA721D20>,"{'company': 'SIN LIANHAP SDN BHD', 'date': '05/02/2018', 'address': 'LOT 13, JALAN IPOH, KG BATU 30, ULU YAM LAMA 44300 BTG KALI, SELANGOR.', 'total': '7.30'}"
6,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=620x880 at 0x7F90CA722770>,"{'company': 'CROSS CHANNEL NETWORK SDN. BHD.', 'date': '29/01/2018', 'address': '47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.', 'total': '6.35'}"
7,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=616x992 at 0x7F90CA722500>,"{'company': 'CROSS CHANNEL NETWORK SDN. BHD.', 'date': '31/12/2017', 'address': '47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.', 'total': '7.95'}"
8,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=584x1024 at 0x7F90CA721D50>,"{'company': 'SWC ENTERPRISE SDN BHD', 'date': '08/01/2018', 'address': 'NO. 5-7, JALAN MAHAGONI 7/1, SEKYSEN 4, BANDAR UTAMA, 44300 BATANG KALI, SELANGOR.', 'total': '8.00'}"
9,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=835x2333 at 0x7F90CA722320>,"{'company': 'LIGHTROOM GALLERY SDN BHD', 'date': '20/11/2017', 'address': 'NO: 28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA', 'total': '278.80'}"
10,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=758x1559 at 0x7F90CA722830>,"{'company': '99 SPEED MART S/B', 'date': '20-11-17', 'address': 'LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1413-SETIA ALAM 2', 'total': '169.80'}"
11,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=447x1127 at 0x7F90CA720910>,"{'company': 'SECURE PARKING CORPORATION S/B', 'date': '23.03.18', 'address': 'RIVERWALK VILLAGE BATU 3, JALAN IPOH 51200 KL.', 'total': '1.00'}"
12,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=835x2333 at 0x7F90CA7227A0>,"{'company': 'LIGHTROOM GALLERY SDN BHD', 'date': '20/11/2017', 'address': 'NO: 28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA', 'total': '278.80'}"
13,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=619x2175 at 0x7F90CA7209D0>,"{'company': 'OLD TOWN KOPITAM SND BHD', 'date': '22 MAR 18', 'address': 'SRI RAMPAI', 'total': '30.25'}"
14,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=627x1071 at 0x7F90CA721510>,"{'company': 'UROKO JAPANESE CUISINE SDN BHD', 'date': '20/03/2018', 'address': '22A-1, JALAN 17/54, SECTION 17, 46400 PETALING JAYA, SELANGOR.', 'total': '53.00'}"
15,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1654x2339 at 0x7F90CA720940>,"{'company': 'TED HENG STATIONERY & BOOKS', 'date': '27/01/2018', 'address': 'NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN', 'total': '27.35'}"
16,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1654x2339 at 0x7F90CA720D00>,"{'company': 'TEO HENG STATIONERY & BOOKS', 'date': '15/03/2018', 'address': 'NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN', 'total': '127.20'}"
17,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=933x2445 at 0x7F90CA7225F0>,"{'company': 'TEO HENG STATIONERY & BOOKS', 'date': '29/01/2018', 'address': 'NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN', 'total': '1.05'}"
18,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2481x3508 at 0x7F90CA720D60>,"{'company': 'SWC ENTERPRISE SDN BHD', 'date': '02/01/2018', 'address': '8 & 10, JALAN IJOK PERMAI 1, PUSAT NIAGA IJOK PERMAI, 48000 IJOK, SELANGOR.', 'total': '4.20'}"
19,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=743x1727 at 0x7F90CA7209A0>,"{'company': 'F&P PHARMACY', 'date': '02/03/2018', 'address': 'NO.20. GROUND FLOOR, JALAN BS 10/6 TAMAN BUKIT SERDANG, SEKSYEN 10, 43300 SERI KEMBANGAN. SELANGOR DARUL EHSAN', 'total': '31.90'}"
20,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1080x1527 at 0x7F90CA720A00>,"{'company': 'UNIHAKKA INTERNATIONAL SDN BHD', 'date': '07 MAR 2018', 'address': '12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR', 'total': '$8.20'}"
21,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1080x1527 at 0x7F90CA720820>,"{'company': 'UNIHAKKA INTERNATIONAL SDN BHD', 'date': '13 MAR 2018', 'address': '12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR', 'total': '$8.20'}"
22,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1080x1527 at 0x7F90CA720BB0>,"{'company': 'PASAR MINI JIN SENG', 'date': '03/03/18', 'address': '379, JALAN PERMAS SATU, BANDAR BARU PERMAS JAYA 81750 PLENTONG, JOHOR.', 'total': '33.80'}"
23,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1080x1527 at 0x7F90CA721150>,"{'company': 'YHM AEON TEBRAU CITY', 'date': '11/03/2018', 'address': 'S117, SECOND FLOOR, AEON TEBRAU CITY, 1, JALAN DESA TEBRAU, TAMAN DESA TEBRAU, 81100 JOHOR BAHRU, JOHOR.', 'total': '49.70'}"
24,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1080x1527 at 0x7F90CA720E80>,"{'company': 'GRAND COMPANIONS SDN BHD', 'date': '03 MAR 19', 'address': 'LOT G112, AEON MALL TEBRAU CITY NO 1 JALAN DESA TEBRAU 81100 JOHOR BAHRU', 'total': '269.40'}"
25,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1080x1512 at 0x7F90CA721180>,"{'company': 'UNIHAKKA INTERNATIONAL SDN BHD', 'date': '26 MAR 2018', 'address': '12, JALAN TAMPOI 7/4,KAWASAN PARINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR', 'total': '$8.20'}"
26,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1080x1527 at 0x7F90CA7211E0>,"{'company': 'YONG TAT HARDWARE TRADING', 'date': '13/03/2018', 'address': 'NO 4,JALAN PERJIRANAN 10, TAMAN AIR BIRU, 81700 PASIR GUDANG, JOHOR.', 'total': '72.00'}"
27,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1080x1528 at 0x7F90CA721390>,"{'company': 'TRIPLE SIX POINT ENTERPRISE 666', 'date': '22-03-2018', 'address': 'NO 14& 16 JALAN PERMAS 4/3 BANDAR BARU PERMAS JAY', 'total': '22.60'}"
28,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1080x1528 at 0x7F90CA7210F0>,"{'company': 'UNIHAKKA INTERNATIONAL SDN BHD', 'date': '25 MAR 2018', 'address': '12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR', 'total': '$8.50'}"
29,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1080x1528 at 0x7F90CA721210>,"{'company': 'UNIHAKKA INTERNATIONAL SDN BHD', 'date': '20 MAR 2018', 'address': '12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR', 'total': '$6.60'}"
30,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1080x1528 at 0x7F90CA721240>,"{'company': 'CONTENTO', 'date': '20/03/18', 'address': '15, JALAN PERMAS 10/7,PERMAS 81750 MASAI JOHOR', 'total': '21.60'}"
31,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=789x1757 at 0x7F90CA720340>,"{'company': 'BENS INDEPENDENT GROCER SDN. BHD', 'date': '09/03/18', 'address': 'LOT 6, JALAN BATAI, PLAZA BATAI, DAMANSARA HEIGHTS 50490, KUALA LUMPUR', 'total': '133.70'}"
32,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=790x2050 at 0x7F90CA720310>,"{'company': 'BENS INDEPENDENT GROCER SDN. BHD', 'date': '08/03/18', 'address': 'LOT 6, JALAN BATAI, PLAZA BATAI, DAMANSARA HEIGHTS 50490, KUALA LUMPUR', 'total': '81.00'}"
