,sentence_id,tokens,labels,ner_tags
0,0,"['TAN', 'WOON', 'YANN']","['O', 'O', 'O']","[0, 0, 0]"
1,1,"['25/12/2018', '8:13:39', 'PM']","['B-date', 'O', 'O']","[5, 0, 0]"
2,2,['CASHIER:'],['O'],[0]
3,3,['MANIS'],['O'],[0]
4,4,['MEMBER:'],['O'],[0]
5,5,"['CASH', 'BILL']","['O', 'O']","[0, 0]"
6,6,['CODE/DESC'],['O'],[0]
7,7,['PRICE'],['O'],[0]
8,8,['DISC'],['O'],[0]
9,9,['AMOUNT'],['O'],[0]
10,10,['QTY'],['O'],[0]
11,11,"['BOOK', 'TA', '.K(TAMAN', 'DAYA)', 'SDN', 'BND']","['B-company', 'I-company', 'O', 'I-company', 'I-company', 'O']","[1, 2, 0, 2, 2, 0]"
12,12,['RM'],['O'],[0]
13,13,['RM'],['O'],[0]
14,14,['9556939040116'],['O'],[0]
15,15,"['KF', 'MODELLING', 'CLAY', 'KIDDY', 'FISH']","['O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]"
16,16,"['1', 'PC']","['O', 'O']","[0, 0]"
17,17,['*'],['O'],[0]
18,18,['9.000'],['O'],[0]
19,19,['0.00'],['O'],[0]
20,20,['9.00'],['B-total'],[7]
21,21,['TOTAL:'],['O'],[0]
22,22,['789417-W'],['O'],[0]
23,23,"['ROUR', 'DING', 'ADJUSTMENT:']","['O', 'O', 'O']","[0, 0, 0]"
24,24,['0.00'],['O'],[0]
25,25,"['ROUND', 'D', 'TOTAL', '(RM):']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
26,26,['9.00'],['O'],[0]
27,27,['CASH'],['O'],[0]
28,28,['10.00'],['O'],[0]
29,29,['CHANGE'],['O'],[0]
30,30,['1.00'],['O'],[0]
31,31,"['GOODS', 'SOLD', 'ARE', 'NOT', 'RETURNABLE', 'OR']","['O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]"
32,32,['EXCHANGEABLE'],['O'],[0]
33,33,"['NO.53', '55,57', '&', '59,', 'JALAN', 'SAGU', '18,']","['B-address', 'I-address', 'I-address', 'I-address', 'I-address', 'I-address', 'I-address']","[3, 4, 4, 4, 4, 4, 4]"
34,34,['***'],['O'],[0]
35,35,['***'],['O'],[0]
36,36,"['THANK', 'YOU']","['O', 'O']","[0, 0]"
37,37,"['PLEASE', 'COME', 'AGAIN', '!']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
38,38,['9.00'],['O'],[0]
39,39,"['TAMAN', 'DAYA,']","['I-address', 'I-address']","[4, 4]"
40,40,"['81100', 'JOHOR', 'BAHRU,']","['I-address', 'I-address', 'I-address']","[4, 4, 4]"
41,41,['JOHOR.'],['I-address'],[4]
42,42,"['DOCUMENT', 'NO', ':', 'TD01167104']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
43,43,['DATE:'],['O'],[0]
44,44,"['TAN', 'WOON', 'YANN']","['O', 'O', 'O']","[0, 0, 0]"
45,45,"['CASHIER:', 'CN']","['O', 'O']","[0, 0]"
46,46,"['LOCATION/SP:', '05', '/0531']","['O', 'O', 'O']","[0, 0, 0]"
47,47,"['MB:', 'MO26588']","['O', 'O']","[0, 0]"
48,48,"['ROOM', 'NO:', '01']","['O', 'O', 'O']","[0, 0, 0]"
49,49,['050100035279'],['O'],[0]
50,50,['DESC/ITEM'],['O'],[0]
51,51,['QTY'],['O'],[0]
52,52,['PRICE'],['O'],[0]
53,53,['AMT(RM)'],['O'],[0]
54,54,"['ST-PRIVILEGE', 'CARD/GD', 'INDAH']","['O', 'O', 'I-company']","[0, 0, 2]"
55,55,"['INDAH', 'GIFT', '&', 'HOME', 'DECO']","['B-company', 'I-company', 'I-company', 'I-company', 'I-company']","[1, 2, 2, 2, 2]"
56,56,['88888'],['O'],[0]
57,57,['1'],['O'],[0]
58,58,['10.00'],['O'],[0]
59,59,['10.00'],['O'],[0]
60,60,"['GF-TABLE', 'LAMP/STITCH', '<I>']","['O', 'O', 'O']","[0, 0, 0]"
61,61,['62483'],['O'],[0]
62,62,['1'],['O'],[0]
63,63,['55.90'],['O'],[0]
64,64,['55.90'],['O'],[0]
65,65,['@DISC'],['O'],[0]
66,66,"['27,JALAN', 'DEDAP', '13,']","['O', 'B-address', 'I-address']","[0, 3, 4]"
67,67,['10.00%'],['O'],[0]
68,68,['-5.59'],['O'],[0]
69,69,"['#TOTAL', 'QTY']","['O', 'O']","[0, 0]"
70,70,['2'],['O'],[0]
71,71,"['TOTAL', 'AMT.................', 'RM']","['O', 'O', 'O']","[0, 0, 0]"
72,72,['60.31'],['O'],[0]
73,73,"['ROUNDING', 'ADJ............']","['O', 'O']","[0, 0]"
74,74,['-0.01'],['O'],[0]
75,75,['RM'],['O'],[0]
76,76,['60.30'],['B-total'],[7]
77,77,"['TAMAN', 'JAYA,']","['I-address', 'I-address']","[4, 4]"
78,78,"['CASH....................', 'RM']","['O', 'O']","[0, 0]"
79,79,['70.30'],['O'],[0]
80,80,"['CHANGE..................', 'RM']","['O', 'O']","[0, 0]"
81,81,['10.00'],['O'],[0]
82,82,"['THANK', 'YOU', 'PLEASE', 'COME', 'AGAIN', '!', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0]"
83,83,"['GOODS', 'SOLD', 'ARE', 'NOT', 'RETURNABLE']","['O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]"
84,84,"['THANK', 'YOU', 'FLEASE', 'COME', 'AOSIN', '!', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0]"
85,85,"['GOODS', 'SOLD', 'ARE', 'NOT', 'RETURNABLE']","['O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]"
86,86,"['DEALING', 'IN', 'WHOLESALE', 'AND', 'RETAIL.']","['O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]"
87,87,"['81100', 'BAHRU,JOHOR.']","['I-address', 'O']","[4, 0]"
88,88,['TEL:07-3507405'],['O'],[0]
89,89,['FAX:07-3558160'],['O'],[0]
90,90,['RECEIPT'],['O'],[0]
91,91,"['19/10/2018', '20:49:59', '#01']","['B-date', 'O', 'O']","[5, 0, 0]"
92,92,"['TAN', 'WOON', 'YANN']","['O', 'O', 'O']","[0, 0, 0]"
93,93,"['EZ10HD05', '-', '24']","['O', 'O', 'O']","[0, 0, 0]"
94,94,['8970669'],['O'],[0]
95,95,['1'],['O'],[0]
96,96,['X'],['O'],[0]
97,97,['19.00'],['O'],[0]
98,98,['19.00'],['O'],[0]
99,99,"['AIR', 'PRESSURE', 'SPRAYER', 'SX-575-1', '1.5L']","['O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]"
100,100,"['HC03-7', '-', '15']","['O', 'O', 'O']","[0, 0, 0]"
101,101,['9066468'],['O'],[0]
102,102,['1'],['O'],[0]
103,103,"['MR', 'D.T.Y.', '(JOHOR)', 'SDN', 'BHD']","['B-company', 'O', 'I-company', 'I-company', 'I-company']","[1, 0, 2, 2, 2]"
104,104,['X'],['O'],[0]
105,105,['8.02'],['O'],[0]
106,106,['8.02'],['O'],[0]
107,107,"['WAXCO', 'WINDSHILED', 'CLEANER', '120ML']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
108,108,"['WA14-3A', '-', '48']","['O', 'O', 'O']","[0, 0, 0]"
109,109,['9557031100236'],['O'],[0]
110,110,['1'],['O'],[0]
111,111,['X'],['O'],[0]
112,112,['3.02'],['O'],[0]
113,113,['3.02'],['O'],[0]
114,114,"['(CO.REG', ':', '933109-X)']","['O', 'O', 'O']","[0, 0, 0]"
115,115,"['BOPP', 'TAPE', '48MM*100M', 'CLEAR']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
116,116,"['FZ-04', '-', '36']","['O', 'O', 'O']","[0, 0, 0]"
117,117,['6935818350846'],['O'],[0]
118,118,['1'],['O'],[0]
