,text_lines,doc_id,line_id
0,"tan woon yann
",X00016469612,1
1,"
",X00016469612,2
2,"BOOK TA-K (TAMAN DAYA) SDN BHD
",X00016469612,3
3,"B94 7-W
",X00016469612,4
4,"NO.5? 55,57 & 59, JALAN SAGU 18,
",X00016469612,5
5,"TAMAN DAYA
",X00016469612,6
6,"81100 JOHOR BAHRU,
",X00016469612,7
7,"JOHOR.
",X00016469612,8
8,"
",X00016469612,9
9,"LAM MCU
",X00016469612,10
10,"
",X00016469612,11
11,"Document Ho : TDO1167104
",X00016469612,12
12,"
",X00016469612,13
13," 
",X00016469612,14
14,"
",X00016469612,15
15,"Date 25/12/2018 8:13:39 PM
",X00016469612,16
16,"Cashier MANIS
",X00016469612,17
17,"Member
",X00016469612,18
18,"CASH BILL
",X00016469612,19
19,"CODE/DESC PRICE — Disc AMOUIT
",X00016469612,20
20,"Quy RM RM
",X00016469612,21
21,"9556939040118 KF MODELLING CLAY KIDDY FISH
",X00016469612,22
22,"1PC * 9.00) 6,00 9.00
",X00016469612,23
23,"Total : 9.00
",X00016469612,24
24,"Rour ding Adjustment 0.00
",X00016469612,25
25,"
",X00016469612,26
26,"Round: :d Total (RM):
",X00016469612,27
27,"
",X00016469612,28
28,"9.60
",X00016469612,29
29,"
",X00016469612,30
30,"Cash
",X00016469612,31
31,"CHANGE
",X00016469612,32
32,"
",X00016469612,33
33,"  
",X00016469612,34
34,"
",X00016469612,35
35,"GOODS SOLD ARE NOT RETURNAR
",X00016469612,36
36,"EXCHANGEABLE
",X00016469612,37
37,"
",X00016469612,38
38," 
",X00016469612,39
39,"
",X00016469612,40
40,"THANK YOU.
",X00016469612,41
41,"PLEASE COME AGATY t
",X00016469612,42
42,,X00016469612,43
43,"tan woon yann
",X00016469619,1
44,"
",X00016469619,2
45,"INDAH GIFT & HOME BECO
",X00016469619,3
46,"27, JALAN DEDAP 13,
",X00016469619,4
47,"TANAN JOHOR JAYA,
",X00016469619,5
48,"81100 JOHOR BAHRU, JOHOR.
",X00016469619,6
49,"Tel:07-3507405 Fax:07-3558160
",X00016469619,7
50,"
",X00016469619,8
51,"RECEIPT
",X00016469619,9
52,"
",X00016469619,10
53,"19/10/2018 20:49:59 #01
",X00016469619,11
54,"Cashier: CN Location/SP: 05 /0531
",X00016469619,12
55,"
",X00016469619,13
56,"MB: 4026588
",X00016469619,14
57,"Room No: Of 050100025279
",X00016469619,15
58,"
",X00016469619,16
59,"Desc/Iten Gty Price Amt/RH)
",X00016469619,17
60,"
",X00016469619,18
61,"ST-PRIVILEGE CARD/GD INDAH
",X00016469619,19
62,"
",X00016469619,20
63,"88888 1 10.00 10.00
",X00016469619,21
64,"
",X00016469619,22
65,"GF-TABLE LAMP/STITCH <i>
",X00016469619,23
66,"
",X00016469619,24
67,"62483 1 55.90 55.90
",X00016469619,25
68,"@NIsc 10.00%
",X00016469619,26
69,"
",X00016469619,27
70,"HTotal Qty 2
",X00016469619,28
71,"
",X00016469619,29
72,"TOTAL AHT.
",X00016469619,30
73,"
",X00016469619,31
74,"ROUNDING ADJ.
",X00016469619,32
75,"
",X00016469619,33
76," 
",X00016469619,34
77,"
",X00016469619,35
78,"    
",X00016469619,36
79,"
",X00016469619,37
80,"Thank You ! Please Come Again !
",X00016469619,38
81,"Goods Sold Are Not Retui
",X00016469619,39
82,"Healing In Wholesale And fi
",X00016469619,40
83,"
",X00016469619,41
84,"  
",X00016469619,42
85,,X00016469619,43
86,"tan woon yann
",X00016469620,1
87,"
",X00016469620,2
88,"MR O.1.¥. (JOHOR) SDN BHD
",X00016469620,3
89,"(CO.REG :933109-x)
",X00016469620,4
90,"
",X00016469620,5
91,"LOT 1851-A & 1851-B, JALAN KPB 6,
",X00016469620,6
92,"KAWASAN PERINDUSTRIAN BALAKONG ,
",X00016469620,7
93,"43300 SERI KEMBANGAN, SELANGOR
",X00016469620,8
94,"(MR DIY TESCO TERBAU)
",X00016469620,9
95,"~INVOICE~
",X00016469620,10
96,"
",X00016469620,11
97," 
",X00016469620,12
98,"
",X00016469620,13
99,"CHOPPING BOARO 35.5x25.5CM 803M#
",X00016469620,14
100,"EZiOHDOS - 24
",X00016469620,15
101,"
",X00016469620,16
102,"8970669 1X 19.00 19.00
",X00016469620,17
103,"AIR PRESSURE SPRAYER SX-§75-1 1.5L
",X00016469620,18
104,"HCO3-7 - 15
",X00016469620,19
105,"
",X00016469620,20
106,"9066468 8.02 8.02
",X00016469620,21
107,"WAXCO WINDSHILED cleaner 120ML
",X00016469620,22
108,"
",X00016469620,23
109,"WAI4-3A - 48
",X00016469620,24
110,"
",X00016469620,25
111,"8557031100236 1X 3.02 3,02
",X00016469620,26
112,"BOPP TAPE 48MM*100M CLEAR
",X00016469620,27
113,"
",X00016469620,28
114,"FZ-04 - 36
",X00016469620,29
115,"
",X00016469620,30
116,"6935818350846 1X 3,88 3,88
",X00016469620,31
117,"Item(s) : 4 Qty(s) : 4
",X00016469620,32
118,"
",X00016469620,33
119," 
",X00016469620,34
120,"
",X00016469620,35
121,"   
",X00016469620,36
122,"
",X00016469620,37
123,"TOTAL RM 33, 92
",X00016469620,38
124,"ROUNDING ADJUSTMED -RM 0.02
",X00016469620,39
125,"TOTAL ROUNDED RH 33,90
",X00016469620,40
126,"CASH RM 50.00
",X00016469620,41
127,"CHANGE RM 16.10
",X00016469620,42
128,"¥o-- 2-220 22+ +--+ == -- --- +--+ --- *
",X00016469620,43
129,"
",X00016469620,44
130,"12-01-19 21:13 SHO ZKO9 14 ROO0027830
",X00016469620,45
131,"OPERATOR TRAINEE CASHIER
",X00016469620,46
132,"
",X00016469620,47
133,"EXCHANGE ARE ALLOWED WITHIN
",X00016469620,48
134,"7 DAYS WITH RECEIPT.
",X00016469620,49
135,"STRICTLY NO CASH REFUND.
",X00016469620,50
136,,X00016469620,51
137,"tan woon yann
",X00016469622,1
138,"
",X00016469622,2
139,"YONGFATT ENTERPRISE
",X00016469622,3
140,"
",X00016469622,4
141,"(4M0517726)
",X00016469622,5
142,"
",X00016469622,6
143,"NO 122.124. JALAN DEDAP 13
",X00016469622,7
144,"81100 JOHOR BAHRU
",X00016469622,8
145,"
",X00016469622,9
146," 
",X00016469622,10
147,"
",X00016469622,11
148," 
",X00016469622,12
149,"
",X00016469622,13
150,"TEL 07-352
",X00016469622,14
151,"GST ID 000849812
",X00016469622,15
152,"SIMPLIFIED TAX INVOICE
",X00016469622,16
153,"
",X00016469622,17
154,"  
",X00016469622,18
155,"
",X00016469622,19
156,"CASH
",X00016469622,20
157,"
",X00016469622,21
158,"Doe No CS$00031664 — Date 26/12/2018
",X00016469622,22
159,"
",X00016469622,23
160," 
",X00016469622,24
161,"   
",X00016469622,25
162,"
",X00016469622,26
163," 
",X00016469622,27
164,"
",X00016469622,28
165,"  
",X00016469622,29
166,"
",X00016469622,30
167,"¢ USER Time 12.31.00
",X00016469622,31
168,"Sake. of Ret
",X00016469622,32
169,"fom Qty SiPiice Amount Tax
",X00016469622,33
170,"£8318 1 80 91 8091 SR
",X00016469622,34
171,"ELEGANT SCH TR BAG 15
",X00016469622,35
172,"Total Qty 1 8094
",X00016469622,36
173,"Total Sales (Excluding GST) 60.91
",X00016469622,37
174,"Discount 000
",X00016469622,38
175,"Total GST 0.00
",X00016469622,39
176,"Rounding 001
",X00016469622,40
177,"elusive of GST) : 80.90
",X00016469622,41
178,"CASH : 100.00
",X00016469622,42
179,"Change: 19.10
",X00016469622,43
180,"
",X00016469622,44
181,"1
",X00016469622,45
182,"
",X00016469622,46
183,"|
",X00016469622,47
184,"
",X00016469622,48
185,"Amt(RM) — Tax (RM) |
",X00016469622,49
186,"80.91 oo!
",X00016469622,50
187,"
",X00016469622,51
188,"Total 80.91 000
",X00016469622,52
189,"
",X00016469622,53
190," 
",X00016469622,54
191,"
",X00016469622,55
192," 
",X00016469622,56
193,"
",X00016469622,57
194,"ARE NOT REFUNDABLE, ONLY
",X00016469622,58
195,,X00016469622,59
196,"tan woon yann
",X00016469623,1
197,"
",X00016469623,2
198,"MR O.T.Y. (M) SON BHD
",X00016469623,3
199,"(CO.REG : 86067 )-D)
",X00016469623,4
200,"
",X00016469623,5
201,"{OT 1@51-A & 1851-B, JALAN KPB 6,
",X00016469623,6
202,"KAWASAN PERINDUSTRIAN BALAKONG,
",X00016469623,7
203,"43300 SERI KEMBANGAN, SELANGOR
",X00016469623,8
204,"(TESCO PUTRA NILAI)
",X00016469623,9
205,"INVOICE
",X00016469623,10
206,"
",X00016469623,11
207," 
",X00016469623,12
208,"
",X00016469623,13
209,"KILAT AUTO ECO ASH & SHINE £51000 It
",X00016469623,14
210,"WA4S-/2A - 12
",X00016469623,15
211,"
",X00016469623,16
212,"£916500133 exe 3.17 3.11
",X00016469623,17
213,"""ECO AUTO WASH &HAX EW-1000-11
",X00016469623,18
214,"
",X00016469623,19
215,"A 12
",X00016469623,20
216,"
",X00016469623,21
217,"16500126 1X 4.62 4.62
",X00016469623,22
218,"WO40 277ml MOQ 2572
",X00016469623,23
219,"
",X00016469623,24
220,"WA4S-A - 24
",X00016469623,25
221,"
",X00016469623,26
222,"00084 TX 1281128
",X00016469623,27
223,"KLEENSO AJAIB 99 SERAT WANYI 9006
",X00016469623,28
224,"WOOO - 15
",X00016469623,29
225,"
",X00016469623,30
226,"51400385 VX TAS 7.45
",X00016469623,31
227,"ERCHTEF 7138682PCS
",X00016469623,32
228,"
",X00016469623,33
229,"PL2Pdll-4 - 6/900
",X00016469623,34
230,"
",X00016469623,35
231," 
",X00016469623,36
232,"  
",X00016469623,37
233,"  
",X00016469623,38
234,"
",X00016469623,39
235," 
",X00016469623,40
236,"
",X00016469623,41
237," 
",X00016469623,42
238,"
",X00016469623,43
239," 
",X00016469623,44
240,"
",X00016469623,45
241,"gO90822 1X 4,50 4.50
",X00016469623,46
242,"
",X00016469623,47
243,"Item(s) 35 Qty(s) : 5
",X00016469623,48
244,"Tota] RM 30,9)
",X00016469623,49
245,"ROUNDING ADJUST RM 0.01
",X00016469623,50
246,"TOTAL ROUNDED, RM 30.90
",X00016469623,51
247,"CASH RM 51.00
",X00016469623,52
248,"CHANGE RM 20.10
",X00016469623,53
249,"+ +
",X00016469623,54
250,"18-11-18 13:58 SHO1 2163 12 RO00002902
",X00016469623,55
251,"
",X00016469623,56
252,"UPERATOR TRAINEE CASHIER
",X00016469623,57
253,"
",X00016469623,58
254,"EXCHANGE ARE ALLOWED WITHIN
",X00016469623,59
255,"7 DAYS WITH RECEIPT.
",X00016469623,60
256,"STRICTLY NO CASH REFUND.
",X00016469623,61
257,,X00016469623,62
258,"tan chay yee
",X00016469669,1
259,"
",X00016469669,2
260,"ABC HO TRADING
",X00016469669,3
261,"No,2&4, JALAN HARMONT 3/2,
",X00016469669,4
262,"TAMAN DESA HARMONT
",X00016469669,5
263,"81100 JOHOR BAHRUJOHOR
",X00016469669,6
264,"07-355 2616
",X00016469669,7
265,"
",X00016469669,8
266,"Cash Bill; 01-143008
",X00016469669,9
267,"
",X00016469669,10
268,"Date : 09/01/2019 8:01:11 PM
",X00016469669,11
269,"Cashier : 01
",X00016469669,12
270,"Description Qty Price Amount
",X00016469669,13
271,"so RM RM
",X00016469669,14
272,"i 2 15.50 31.00
",X00016469669,15
273,"
",X00016469669,16
274,"  
",X00016469669,17
275,"
",X00016469669,18
276," 
",X00016469669,19
277,"
",X00016469669,20
278,"Total Amount:
",X00016469669,21
279,"Cash Received
",X00016469669,22
280,"Change : 70.00
",X00016469669,23
281,"
",X00016469669,24
282,"*Goods Sold are non-refundable
",X00016469669,25
283,"“**Thank You*** 4) 0
",X00016469669,26
284,"
",X00016469669,27
285,"“*""Please Come Again***
",X00016469669,28
286,"
",X00016469669,29
287," 
",X00016469669,30
288,,X00016469669,31
289,"tan chay yee
",X00016469672,1
290,"
",X00016469672,2
291,"SOON HUAT MACHINERY ENTERPRISE
",X00016469672,3
292,"(JM0352019-K)
",X00016469672,4
293,"NO.53 JALAN PUTRA 1,
",X00016469672,5
294,"TAMAN SRI PUTRA,
",X00016469672,6
295,"81200 JOHOR BAHRU
",X00016469672,7
296,"JOHOR
",X00016469672,8
297,"TEL : 07-5547360 /016-7993391 FAX : 07-5624059
",X00016469672,9
298,"SOONHUAT2000@HOTMAIL.COM
",X00016469672,10
299,"GST ID : 002116837376
",X00016469672,11
300,"
",X00016469672,12
301,"   
",X00016469672,13
302,"  
",X00016469672,14
303,"
",X00016469672,15
304," 
",X00016469672,16
305,"
",X00016469672,17
306,"gu CASH SALES
",X00016469672,18
307,"Doc No. s00004040 Date: 11/01/2019
",X00016469672,19
308,"Cashier USER Time: 09:44:00
",X00016469672,20
309,"Ret.
",X00016469672,21
310,"es = Ammotint “Tak
",X00016469672,22
311,"
",X00016469672,23
312," 
",X00016469672,24
313,"
",X00016469672,25
314,"80.00
",X00016469672,26
315,"REPAIR ENGINE POWER SPRAYER (1UNIT)
",X00016469672,27
316,"workmanship & service
",X00016469672,28
