,text_lines,doc_id,line_id
0,TAN WOON YANN,X00016469612,1
1,BOOK TA .K(TAMAN DAYA) SDN BND,X00016469612,2
2,789417-W,X00016469612,3
3,"NO.53 55,57 & 59, JALAN SAGU 18,",X00016469612,4
4,"TAMAN DAYA,",X00016469612,5
5,"81100 JOHOR BAHRU,",X00016469612,6
6,JOHOR.,X00016469612,7
7,DOCUMENT NO : TD01167104,X00016469612,8
8,DATE:,X00016469612,9
9,25/12/2018 8:13:39 PM,X00016469612,10
10,CASHIER:,X00016469612,11
11,MANIS,X00016469612,12
12,MEMBER:,X00016469612,13
13,CASH BILL,X00016469612,14
14,CODE/DESC,X00016469612,15
15,PRICE,X00016469612,16
16,DISC,X00016469612,17
17,AMOUNT,X00016469612,18
18,QTY,X00016469612,19
19,RM,X00016469612,20
20,RM,X00016469612,21
21,9556939040116,X00016469612,22
22,KF MODELLING CLAY KIDDY FISH,X00016469612,23
23,1 PC,X00016469612,24
24,*,X00016469612,25
25,9.000,X00016469612,26
26,0.00,X00016469612,27
27,9.00,X00016469612,28
28,TOTAL:,X00016469612,29
29,ROUR DING ADJUSTMENT:,X00016469612,30
30,0.00,X00016469612,31
31,ROUND D TOTAL (RM):,X00016469612,32
32,9.00,X00016469612,33
33,CASH,X00016469612,34
34,10.00,X00016469612,35
35,CHANGE,X00016469612,36
36,1.00,X00016469612,37
37,GOODS SOLD ARE NOT RETURNABLE OR,X00016469612,38
38,EXCHANGEABLE,X00016469612,39
39,***,X00016469612,40
40,***,X00016469612,41
41,THANK YOU,X00016469612,42
42,PLEASE COME AGAIN !,X00016469612,43
43,9.00,X00016469612,44
44,TAN WOON YANN,X00016469619,1
45,INDAH GIFT & HOME DECO,X00016469619,2
46,"27,JALAN DEDAP 13,",X00016469619,3
47,"TAMAN JOHOR JAYA,",X00016469619,4
48,"81100 JOHOR BAHRU,JOHOR.",X00016469619,5
49,TEL:07-3507405,X00016469619,6
50,FAX:07-3558160,X00016469619,7
51,RECEIPT,X00016469619,8
52,19/10/2018 20:49:59 #01,X00016469619,9
53,CASHIER: CN,X00016469619,10
54,LOCATION/SP: 05 /0531,X00016469619,11
55,MB: MO26588,X00016469619,12
56,ROOM NO: 01,X00016469619,13
57,050100035279,X00016469619,14
58,DESC/ITEM,X00016469619,15
59,QTY,X00016469619,16
60,PRICE,X00016469619,17
61,AMT(RM),X00016469619,18
62,ST-PRIVILEGE CARD/GD INDAH,X00016469619,19
63,88888,X00016469619,20
64,1,X00016469619,21
65,10.00,X00016469619,22
66,10.00,X00016469619,23
67,GF-TABLE LAMP/STITCH <I>,X00016469619,24
68,62483,X00016469619,25
69,1,X00016469619,26
70,55.90,X00016469619,27
71,55.90,X00016469619,28
72,@DISC,X00016469619,29
73,10.00%,X00016469619,30
74,-5.59,X00016469619,31
75,#TOTAL QTY,X00016469619,32
76,2,X00016469619,33
77,TOTAL AMT................. RM,X00016469619,34
78,60.31,X00016469619,35
79,ROUNDING ADJ............,X00016469619,36
80,-0.01,X00016469619,37
81,RM,X00016469619,38
82,60.30,X00016469619,39
83,CASH.................... RM,X00016469619,40
84,70.30,X00016469619,41
85,CHANGE.................. RM,X00016469619,42
86,10.00,X00016469619,43
87,THANK YOU ! PLEASE COME AGAIN !,X00016469619,44
88,GOODS SOLD ARE NOT RETURNABLE,X00016469619,45
89,THANK YOU ! FLEASE COME AOSIN !,X00016469619,46
90,GOODS SOLD ARE NOT RETURNABLE,X00016469619,47
91,DEALING IN WHOLESALE AND RETAIL.,X00016469619,48
92,TAN WOON YANN,X00016469620,1
93,MR D.T.Y. (JOHOR) SDN BHD,X00016469620,2
94,(CO.REG : 933109-X),X00016469620,3
95,"LOT 1851-A & 1851-B, JALAN KPB 6,",X00016469620,4
96,"KAWASAN PERINDUSTRIAN BALAKONG,",X00016469620,5
97,"43300 SERI KEMBANGAN, SELANGOR",X00016469620,6
98,(MR DIY TESCO TERBAU),X00016469620,7
99,-INVOICE-,X00016469620,8
100,CHOPPING BOARD 35.5X25.5CM 803M#,X00016469620,9
101,EZ10HD05 - 24,X00016469620,10
102,8970669,X00016469620,11
103,1,X00016469620,12
104,X,X00016469620,13
105,19.00,X00016469620,14
106,19.00,X00016469620,15
107,AIR PRESSURE SPRAYER SX-575-1 1.5L,X00016469620,16
108,HC03-7 - 15,X00016469620,17
109,9066468,X00016469620,18
110,1,X00016469620,19
111,X,X00016469620,20
112,8.02,X00016469620,21
113,8.02,X00016469620,22
114,WAXCO WINDSHILED CLEANER 120ML,X00016469620,23
115,WA14-3A - 48,X00016469620,24
116,9557031100236,X00016469620,25
117,1,X00016469620,26
118,X,X00016469620,27
119,3.02,X00016469620,28
120,3.02,X00016469620,29
121,BOPP TAPE 48MM*100M CLEAR,X00016469620,30
122,FZ-04 - 36,X00016469620,31
123,6935818350846,X00016469620,32
124,1,X00016469620,33
125,X,X00016469620,34
126,3.88,X00016469620,35
127,3.88,X00016469620,36
128,ITEM(S) : 4,X00016469620,37
129,QTY(S) : 4,X00016469620,38
130,TOTAL,X00016469620,39
131,RM 33.92,X00016469620,40
132,ROUNDING ADJUSTMENT,X00016469620,41
133,-RM 0.02,X00016469620,42
134,TOTAL ROUNDED,X00016469620,43
135,RM 33.90,X00016469620,44
136,CASH,X00016469620,45
137,RM 50.00,X00016469620,46
138,CHANGE,X00016469620,47
139,RM 16.10,X00016469620,48
140,12-01-19 21:13 SH01 ZK09,X00016469620,49
141,T4 R000027830,X00016469620,50
142,OPERATOR TRAINEE CASHIER,X00016469620,51
143,EXCHANGE ARE ALLOWED WITHIN,X00016469620,52
144,7 DAYS WITH RECEIPT.,X00016469620,53
145,STRICTLY NO CASH REFUND.,X00016469620,54
146,TAN WOON YANN,X00016469622,1
147,YONGFATT ENTERPRISE,X00016469622,2
148,(JM0517726),X00016469622,3
149,NO 122.124 JALAN DEDAP 13,X00016469622,4
150,81100 JOHOR BAHRU,X00016469622,5
151,TEL 07-3523888,X00016469622,6
152,GST ID: 000849813504,X00016469622,7
153,SIMPLIFIED TAX INVOICE,X00016469622,8
154,CASH,X00016469622,9
155,DOC NO,X00016469622,10
156,CS00031663,X00016469622,11
157,DATE,X00016469622,12
158,25/12/2018,X00016469622,13
159,CASHIER,X00016469622,14
160,USER,X00016469622,15
161,TIME,X00016469622,16
162,12 31 00,X00016469622,17
163,SALESPERSON,X00016469622,18
164,REF.,X00016469622,19
165,ITEM,X00016469622,20
166,QTY,X00016469622,21
167,S/PRICE,X00016469622,22
168,AMOUNT,X00016469622,23
169,TAX,X00016469622,24
170,E8318,X00016469622,25
171,1,X00016469622,26
172,80.91,X00016469622,27
173,80.91,X00016469622,28
174,SR,X00016469622,29
175,ELEGANT SCHTR BAG 15,X00016469622,30
176,TOTAL QTY,X00016469622,31
177,1,X00016469622,32
178,80.91,X00016469622,33
179,TOTAL SALES (EXCLUDING GST) :,X00016469622,34
180,80.91,X00016469622,35
181,DISCOUNT :,X00016469622,36
182,0.00,X00016469622,37
183,TOTAL GST :,X00016469622,38
184,0.00,X00016469622,39
185,ROUNDING,X00016469622,40
186,-0.01,X00016469622,41
187,TOTAL SALES (INCLUSIVE OF GST) :,X00016469622,42
188,80.90,X00016469622,43
189,CASH :,X00016469622,44
190,100.00,X00016469622,45
191,CHANGE :,X00016469622,46
